id,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,is_anomaly
K03954.02,5.71668787,1.97,431.7,1.92,955.0,196.51,11.8,5638.0,4.488,0
K05454.01,509.997402,8.481,1267.0,2.62,182.0,0.26,35.3,5037.0,4.54,0
K01069.01,8.70420525,2.9385,1074.9,2.86,748.0,74.13,74.0,5074.0,4.474,0
K00528.03,20.55280311,2.2013,727.3,2.99,656.0,43.8,42.4,5386.0,4.322,0
K01432.01,6.88595222,4.148,428.5,2.68,946.0,189.35,34.5,5616.0,4.394,0
K00119.02,190.3200468,15.284,1141.7,7.78,426.0,7.8,139.3,5626.0,3.907,0
K00168.02,15.27443889,6.0765,206.7,2.17,896.0,152.62,40.3,5761.0,4.091,0
K06509.01,2.31169425,8.689,38.4,1.76,3178.0,24113.62,16.0,9451.0,3.97,1
K05778.01,454.244158,3.399,241.0,2.93,356.0,3.8,9.9,6446.0,3.935,1
K02544.01,28.6253502,4.551,652.7,2.38,573.0,25.54,18.3,5774.0,4.508,0
K02681.01,135.4978256,6.769,5038.1,6.01,295.0,1.8,73.2,5307.0,4.572,0
K03032.01,0.636424848,0.947,217.9,1.31,1846.0,2754.93,18.1,5343.0,4.538,0
K00333.01,13.28536452,6.283,377.6,4.03,1157.0,423.65,26.8,6534.0,3.973,0
K04212.01,5.79179934,3.474,118.5,1.69,1222.0,528.14,17.7,6174.0,4.244,0
K02538.01,39.8312536,2.442,388.8,1.46,420.0,7.33,15.8,5026.0,4.58,0
K00972.01,13.118962443,4.3045,372.2,8.25,1768.0,2310.43,267.4,7221.0,3.488,0
K00584.01,9.9267215,3.8428,725.5,2.76,803.0,98.34,97.3,5475.0,4.43,0
K01305.02,6.18670882,2.909,202.6,1.21,851.0,123.96,14.3,5114.0,4.463,0
K02714.02,47.3186631,10.465,263.4,2.1,598.0,30.22,36.2,6115.0,4.249,0
K01976.01,12.12401737,3.3091,788.4,2.37,675.0,48.98,40.1,5094.0,4.469,0
K03077.01,4.09578199,1.704,405.5,1.64,851.0,124.3,11.9,4791.0,4.577,0
K01442.01,0.669310092,1.6274,131.8,1.13,1983.0,3643.96,75.3,5475.0,4.426,0
K02133.01,6.24667547,11.261,396.8,14.93,1902.0,3095.83,63.6,4604.0,2.936,0
K01535.01,70.6981724,6.632,357.7,1.63,417.0,7.11,37.7,5811.0,4.536,0
K07217.01,2.488812012,5.94523,131002.0,83.26,1852.0,2776.19,3290.5,6499.0,4.084,1
K00413.01,15.22895514,2.5967,1124.8,3.0,639.0,39.4,63.8,5456.0,4.562,0
K01830.01,13.22714056,3.2861,812.0,2.22,638.0,39.1,51.8,5180.0,4.548,0
K02668.01,0.679336747,1.2188,240.7,1.4,1883.0,2982.78,36.7,5440.0,4.491,0
K04276.01,56.644452,16.551,104.6,2.44,733.0,68.37,21.8,6237.0,3.862,0
K01819.01,12.05705659,2.3462,523.9,1.96,689.0,53.26,20.8,5365.0,4.537,0
K00672.01,16.08786246,3.095,612.5,2.56,668.0,47.17,63.7,5506.0,4.473,0
K02055.03,2.50475282,2.376,181.1,1.48,1369.0,828.59,18.9,5509.0,4.308,0
K00736.02,6.73893544,2.813,601.3,1.44,579.0,26.64,24.2,4126.0,4.668,0
K02023.01,13.59051547,3.784,621.9,2.4,724.0,64.8,27.7,5442.0,4.409,0
K01590.02,2.35574505,1.796,266.9,1.34,1093.0,338.4,17.0,4915.0,4.512,0
K05622.01,469.61309,13.709,1234.7,3.24,200.0,0.37,18.2,5474.0,4.598,0
K02053.01,13.12162167,3.6138,196.9,1.99,913.0,164.48,32.7,6140.0,4.265,0
K01435.02,10.44635944,2.749,354.2,2.18,812.0,102.77,34.4,5968.0,4.534,0
K02181.01,12.2885046,2.807,342.1,3.22,913.0,164.61,12.0,5109.0,3.96,0
K00547.03,12.3860474,2.604,151.3,1.11,679.0,50.23,9.1,5121.0,4.457,0
K05706.01,425.483539,17.856,996.6,3.2,248.0,0.89,19.6,5977.0,4.473,0
K01309.01,10.1171684,4.6677,288.7,3.07,1163.0,433.41,50.6,6306.0,4.077,0
K00440.02,4.973455252,1.6519,741.6,2.46,867.0,133.55,65.4,5097.0,4.554,0
K01596.02,105.3582299,3.81,1210.2,1.87,204.0,0.41,22.6,3883.0,4.762,0
K01599.02,13.6164547,5.175,376.1,22.29,755.0,76.81,22.6,5823.0,4.472,0
K00176.01,30.22910274,6.6751,443.4,3.49,755.0,76.88,71.7,6325.0,4.188,0
K02485.02,3.60082855,1.938,296.3,1.36,927.0,174.45,17.9,4838.0,4.524,0
K07257.01,2.856085147,4.5776,173843.0,88.52,1739.0,2164.0,422.1,6604.0,4.178,1
K01923.01,7.23400381,2.165,453.3,1.78,831.0,112.48,34.3,5411.0,4.523,0
K00955.01,7.03902016,3.8633,529.8,2.45,1051.0,288.92,54.3,6321.0,4.434,0
K00149.01,14.55730897,7.7643,956.9,4.32,879.0,141.0,200.0,5774.0,4.159,0
K00571.02,13.3430025,2.7399,799.7,1.29,379.0,4.87,47.1,3751.0,4.8,0
K00528.01,9.57665962,3.3603,746.8,2.88,846.0,121.26,82.6,5386.0,4.322,0
K01363.02,5.70070626,1.6408,379.8,2.03,1035.0,270.62,15.2,5993.0,4.489,0
K00718.03,47.903427,6.191,379.3,3.55,598.0,30.17,34.1,5788.0,4.16,0
K02153.01,59.9809868,7.588,282.4,2.81,568.0,24.58,25.2,6103.0,4.202,0
K02169.03,4.27226421,2.113,48.9,0.64,981.0,218.63,13.7,5450.0,4.563,0
K02097.01,58.601926,5.522,396.4,2.06,508.0,15.8,19.1,6250.0,4.44,0
K04905.01,0.739404894,1.753,246.8,0.94,1256.0,589.06,21.0,4205.0,4.635,1
K00510.03,14.62709685,4.097,396.4,2.7,736.0,69.31,22.7,5527.0,4.376,0
K00586.01,15.77980122,4.0369,541.4,2.11,713.0,60.96,39.4,5941.0,4.519,0
K00844.01,3.709870784,3.0694,2020.3,4.35,1151.0,415.1,116.1,5727.0,4.463,0
K01586.01,6.99130452,2.1568,555.4,1.95,716.0,62.05,36.3,4847.0,4.606,0
K06304.01,13.782522208,8.27762,248937.0,41.84,605.0,31.69,1524.1,5246.0,4.604,1
